result_id,grain_type,moisture,temperature,nature,created_at,timestamp,status,processed_at,processed_by
21010980049852,Nisu,13.81900,29.28300,0.80058,2024-08-10 10:17:33,2024-08-10 07:19:44.395553,Processed,2024-08-10 07:20:20.651145,manager
21010980049800,Nisu,16.31000,28.22200,0.78798,2024-08-09 22:49:05,2024-08-09 19:51:17.303374,Processed,2024-08-09 19:51:28.16715,manager
21010980049805,Nisu,13.83200,26.72100,0.80231,2024-08-09 23:35:01,2024-08-09 20:37:12.933904,Processed,2024-08-09 20:37:54.994156,manager
21010980049853,Nisu,15.07800,22.69000,0.79786,2024-08-10 10:19:22,2024-08-10 07:21:33.886509,Processed,2024-08-10 07:21:57.360652,manager
21010980049809,Nisu,13.63000,26.10000,0.79836,2024-08-10 00:33:15,2024-08-09 21:35:26.761906,Processed,2024-08-09 21:35:57.160262,manager
21010980049707,Nisu,15.91400,21.82100,0.79194,2024-08-09 05:09:55,2024-08-09 02:12:07.466081,Processed,2024-08-09 02:12:28.676474,manager
21010980049709,Nisu,12.75400,19.85600,0.78947,2024-08-09 05:31:01,2024-08-09 02:33:13.475655,Processed,2024-08-09 02:33:58.485933,manager
21010980049859,Nisu,13.58200,28.69600,0.79811,2024-08-10 12:35:06,2024-08-10 09:37:16.58416,Processed,2024-08-10 09:37:52.035359,manager
21010980049716,Nisu,12.57400,21.94500,0.79194,2024-08-09 06:09:35,2024-08-09 03:11:55.557483,Processed,2024-08-09 03:12:11.137746,operator
21010980049717,Nisu,12.41000,23.05100,0.79712,2024-08-09 06:21:05,2024-08-09 03:23:17.750975,Processed,2024-08-09 03:24:25.087068,operator
21010980049865,Nisu,13.03400,27.47700,0.79885,2024-08-10 14:58:20,2024-08-10 12:00:30.928314,Processed,2024-08-10 12:00:39.343853,manager
21010980049718,Nisu,12.46100,23.74000,0.79070,2024-08-09 06:31:40,2024-08-09 03:33:52.662123,Processed,2024-08-09 03:34:16.118264,operator
21010980049726,Nisu,13.07100,27.81600,0.79465,2024-08-09 07:59:07,2024-08-09 05:05:05.79814,Processed,2024-08-09 05:05:20.35261,operator
21010980049871,Nisu,13.45700,27.82700,0.79984,2024-08-10 16:52:41,2024-08-10 13:55:22.855098,Processed,2024-08-10 13:55:46.604763,manager
21010980049872,Nisu,15.76300,25.42200,0.78502,2024-08-10 16:53:40,2024-08-10 13:55:50.217225,Processed,2024-08-10 13:56:38.322292,manager
21010980049877,Nisu,13.38600,25.59200,0.80206,2024-08-10 19:10:44,2024-08-10 16:12:54.297397,Processed,2024-08-10 16:13:26.692959,manager
21010980049878,Nisu,16.42700,25.89600,0.78477,2024-08-10 19:12:21,2024-08-10 16:18:56.381404,New,,
21010980049883,Nisu,13.67400,23.71700,0.79589,2024-08-10 20:25:46,2024-08-10 17:28:26.326645,Processed,2024-08-10 17:28:40.007242,manager
21010980049884,Nisu,16.26300,24.70000,0.78428,2024-08-10 20:39:29,2024-08-10 17:41:40.02135,Processed,2024-08-10 17:42:07.387669,manager
21010980049900,Nisu,13.05500,21.30100,0.80157,2024-08-11 08:45:49,2024-08-11 05:47:59.356741,New,,
21010980049904,Nisu,15.62500,27.57900,0.79243,2024-08-11 09:59:40,2024-08-11 07:01:50.347787,New,,
21010980049693,Nisu,14.85500,19.07700,0.78551,2024-08-09 03:49:37,2024-08-09 00:52:17.502741,Processed,2024-08-09 00:52:40.155824,manager
21010980049698,Nisu,14.70100,17.49700,0.78453,2024-08-09 04:14:27,2024-08-09 01:19:55.002578,New,,
21010980049694,Nisu,14.87800,19.11100,0.78947,2024-08-09 03:51:21,2024-08-09 00:53:33.715188,New,,
21010980049811,Nisu,13.48700,28.15400,0.80009,2024-08-10 00:54:01,2024-08-09 21:56:13.069202,Processed,2024-08-09 21:57:08.572532,manager
21010980049708,Nisu,12.73200,19.17900,0.78848,2024-08-09 05:22:01,2024-08-09 02:24:13.905873,Processed,2024-08-09 02:24:43.835553,manager
21010980049730,Nisu,12.58000,25.23000,0.79243,2024-08-09 08:19:38,2024-08-09 05:21:50.234042,Processed,2024-08-09 05:22:15.218722,operator
21010980049719,Nisu,12.77000,25.44500,0.79317,2024-08-09 06:52:11,2024-08-09 03:54:23.35236,Processed,2024-08-09 03:55:17.755215,operator
21010980049720,Nisu,15.75500,21.70800,0.79243,2024-08-09 06:53:34,2024-08-09 03:55:46.05461,Processed,2024-08-09 03:55:55.725674,operator
21010980049731,Nisu,15.89400,20.59000,0.78996,2024-08-09 08:22:30,2024-08-09 05:24:42.733709,Processed,2024-08-09 05:25:06.50975,operator
21010980049721,Nisu,12.84200,25.23000,0.79391,2024-08-09 07:03:57,2024-08-09 04:06:08.835079,Processed,2024-08-09 04:06:47.178556,operator
21010980049727,Nisu,13.01600,27.28500,0.79366,2024-08-09 08:03:12,2024-08-09 05:05:25.239876,New,,
21010980049813,Nisu,13.59000,27.87200,0.79885,2024-08-10 01:37:52,2024-08-09 22:40:03.017148,Processed,2024-08-09 22:40:21.887736,manager
21010980049738,Nisu,16.84600,24.86900,0.75834,2024-08-09 09:58:56,2024-08-09 07:04:43.619697,Processed,2024-08-09 07:05:12.726563,operator
21010980049818,Nisu,17.93500,25.42200,0.76402,2024-08-10 02:18:24,2024-08-09 23:20:35.229403,New,,
21010980049746,Nisu,13.67400,29.06900,0.78996,2024-08-09 11:34:17,2024-08-09 08:36:29.244789,Processed,2024-08-09 08:36:47.547478,operator
21010980049747,Nisu,16.05600,22.67900,0.78601,2024-08-09 11:35:53,2024-08-09 08:38:05.576729,Processed,2024-08-09 08:38:16.208175,operator
21010980049756,Nisu,16.78100,28.23300,0.74303,2024-08-09 13:33:10,2024-08-09 10:36:44.177794,New,,
21010980049822,Nisu,13.56000,26.11100,0.79786,2024-08-10 03:13:40,2024-08-10 00:15:51.298629,Processed,2024-08-10 00:16:22.073863,manager
21010980049763,Nisu,13.84900,29.38500,0.79564,2024-08-09 14:58:50,2024-08-09 12:01:02.528544,Processed,2024-08-09 12:02:18.208403,operator
21010980049764,Nisu,17.04000,28.36900,0.78304,2024-08-09 15:08:40,2024-08-09 12:10:52.202659,Processed,2024-08-09 12:11:24.051768,operator
21010980049771,Nisu,13.31800,30.79600,0.79984,2024-08-09 16:29:16,2024-08-09 13:31:27.810985,New,,
21010980049772,Nisu,16.28800,28.57200,0.77835,2024-08-09 16:30:34,2024-08-09 13:32:45.356839,New,,
21010980049826,Nisu,13.33200,27.45400,0.79984,2024-08-10 04:19:12,2024-08-10 01:21:22.896052,Processed,2024-08-10 01:21:56.015539,manager
21010980049779,Nisu,16.56300,28.43700,0.78477,2024-08-09 18:04:46,2024-08-09 15:11:04.119621,Processed,2024-08-09 15:18:53.870079,operator
21010980049827,Nisu,14.99800,22.02400,0.79959,2024-08-10 04:21:16,2024-08-10 01:23:27.623829,New,,
21010980049787,Nisu,13.33200,29.41900,0.79836,2024-08-09 20:01:52,2024-08-09 17:04:04.058596,Processed,2024-08-09 17:04:15.919767,operator
21010980049791,Nisu,13.40400,28.08700,0.80108,2024-08-09 20:47:18,2024-08-09 17:49:29.262123,Processed,2024-08-09 17:49:42.023099,operator
21010980049831,Nisu,13.26800,25.46700,0.80305,2024-08-10 05:51:28,2024-08-10 02:53:39.251255,Processed,2024-08-10 02:54:52.561944,manager
21010980049796,Nisu,13.41900,28.08700,0.80033,2024-08-09 21:45:39,2024-08-09 18:47:50.424121,Processed,2024-08-09 18:48:16.988264,operator
21010980049695,Nisu,15.34500,17.35000,0.78329,2024-08-09 03:53:06,2024-08-09 00:55:18.838085,Processed,2024-08-09 00:55:33.222549,manager
21010980049801,Nisu,13.78200,26.82200,0.80206,2024-08-09 22:55:58,2024-08-09 19:58:40.797805,Processed,2024-08-09 19:58:51.211332,manager
21010980049837,Nisu,13.74400,28.01900,0.80231,2024-08-10 07:40:26,2024-08-10 04:42:36.968911,Processed,2024-08-10 04:43:57.667183,manager
21010980049806,Nisu,15.31500,27.55600,0.78749,2024-08-09 23:46:33,2024-08-09 20:48:45.171166,Processed,2024-08-09 20:50:11.452517,manager
21010980049810,Nisu,15.71800,27.17200,0.78230,2024-08-10 00:53:22,2024-08-09 21:55:33.816486,Processed,2024-08-09 21:55:47.256751,manager
21010980049838,Nisu,15.23100,21.56100,0.79935,2024-08-10 07:42:14,2024-08-10 04:46:05.298091,Processed,2024-08-10 04:46:15.493699,manager
21010980049840,Nisu,14.59800,19.95800,0.74204,2024-08-10 08:20:12,2024-08-10 05:22:23.452375,New,,
21010980049846,Nisu,17.15800,26.75400,0.77563,2024-08-10 09:08:42,2024-08-10 06:10:53.375678,New,,
21010980049854,Nisu,13.64200,29.48700,0.80206,2024-08-10 10:52:31,2024-08-10 07:55:23.166427,Processed,2024-08-10 07:55:31.687255,manager
21010980049855,Nisu,14.98900,22.79200,0.79416,2024-08-10 10:53:59,2024-08-10 07:56:10.616714,Processed,2024-08-10 07:56:19.281713,manager
21010980049860,Nisu,14.95300,23.39000,0.79614,2024-08-10 12:37:19,2024-08-10 09:39:30.346984,Processed,2024-08-10 09:39:41.930155,manager
21010980049866,Nisu,15.06200,24.54200,0.79589,2024-08-10 15:00:00,2024-08-10 12:02:10.508518,Processed,2024-08-10 12:02:25.360062,manager
21010980049873,Nisu,14.02600,26.64200,0.79811,2024-08-10 17:30:28,2024-08-10 14:32:38.52039,Processed,2024-08-10 14:34:01.824009,manager
21010980049879,Nisu,16.99400,28.83200,0.77884,2024-08-10 19:29:17,2024-08-10 16:31:27.865485,New,,
21010980049880,Nisu,18.89400,21.79800,0.75118,2024-08-10 19:30:14,2024-08-10 16:32:24.135624,New,,
21010980049885,Nisu,13.49400,22.66700,0.79515,2024-08-10 21:07:51,2024-08-10 18:10:01.314495,Processed,2024-08-10 20:22:16.048155,manager
21010980049888,Nisu,13.66700,18.00500,0.78527,2024-08-10 23:46:28,2024-08-10 20:48:38.759788,Processed,2024-08-10 20:48:55.226723,manager
21010980049889,Nisu,15.61900,28.70800,0.79342,2024-08-10 23:50:06,2024-08-10 20:52:16.081189,Processed,2024-08-10 20:55:00.548319,manager
21010980049893,Nisu,15.61900,28.96700,0.79243,2024-08-11 00:12:21,2024-08-10 21:14:31.644264,Processed,2024-08-10 21:14:41.359399,manager
