Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-19 19:05:00,2024-08-19 19:13:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-19 19:15:00,2024-08-20 08:02:00,767.0
MIDDLE_LEVEL_ALARM,2024-08-20 08:08:00,2024-08-20 08:19:00,11.0
MIDDLE_LEVEL_ALARM,2024-08-20 08:21:00,2024-08-20 08:39:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-20 08:41:00,2024-08-20 09:00:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-20 09:03:00,2024-08-20 09:28:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-20 09:30:00,2024-08-20 09:57:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-20 10:00:00,2024-08-20 10:15:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-20 10:17:00,2024-08-20 10:25:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-20 10:28:00,2024-08-20 10:52:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-20 10:55:00,2024-08-20 11:20:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-20 11:22:00,2024-08-20 11:45:00,23.0
MIDDLE_LEVEL_ALARM,2024-08-20 11:47:00,2024-08-20 12:11:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-20 12:13:00,2024-08-20 12:36:00,23.0
MIDDLE_LEVEL_ALARM,2024-08-20 12:38:00,2024-08-20 13:01:00,23.0
MIDDLE_LEVEL_ALARM,2024-08-20 13:04:00,2024-08-20 13:29:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-20 13:31:00,2024-08-20 14:08:00,37.0
MIDDLE_LEVEL_ALARM,2024-08-20 14:10:00,2024-08-20 14:17:00,7.0
MIDDLE_LEVEL_ALARM,2024-08-21 10:55:00,2024-08-21 11:13:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-21 11:15:00,2024-08-21 11:30:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-21 11:32:00,2024-08-21 12:04:00,32.0
